personId,firstname,lastname,siret,city,salary,calculatedCategory
1,Thomas,Laurent,33708241055662,Paris,21634.89,MIDDLE
2,Lucas,Girard,45150980824984,Lille,26889.51,MIDDLE
3,Jean,Laurent,36312657368841,Paris,77356.65,MASTER
4,Lucas,Laurent,41489286146174,Marseille,20988.88,MIDDLE
5,Marie,Dupont,16071688435502,Paris,17188.81,JUNIOR
6,Thomas,Dupont,62533631490673,Marseille,44486.3,MIDDLE
7,Nicolas,Lefebvre,56596002561804,Nantes,58692.66,SENIOR
8,Thomas,Martin,68561015111602,Lille,84043.31,MASTER
9,Jean,Dupont,23611526166771,Nantes,75020.5,MASTER
10,Lucas,Dupont,17246451790136,Nantes,71240.52,SENIOR
11,Thomas,Dupont,33378213411422,Marseille,21446.85,MIDDLE
12,Marie,Lefebvre,36803484026473,Marseille,62905.17,SENIOR
13,Jean,Dupont,52234127858178,Lille,18722.77,JUNIOR
14,Nicolas,Martin,86879029591664,Paris,84118.8,MASTER
15,Marie,Girard,83040656061840,Paris,55360.54,SENIOR
16,Chloé,Dupont,47207851365620,Lille,37207.56,MIDDLE
17,Thomas,Moreau,89374454518464,Bordeaux,47898.51,SENIOR
18,Marie,Dupont,99456993119586,Paris,77928.8,MASTER
19,Thomas,Laurent,52662592855568,Paris,53663.14,SENIOR
20,Nicolas,Martin,45190894570587,Lille,58771.04,SENIOR
21,Lucas,Martin,26512543250929,Lille,55816.9,SENIOR
22,Lucas,Girard,56674692845543,Paris,80641.72,MASTER
23,Chloé,Laurent,93369314034616,Marseille,88254.59,MASTER
24,Thomas,Dupont,37163482567042,Nantes,45262.58,SENIOR
25,Camille,Girard,19350339967439,Marseille,21153.05,MIDDLE
26,Lucas,Moreau,55747829342787,Lille,83289.99,MASTER
27,Camille,Lefebvre,24898562813368,Paris,54923.8,SENIOR
28,Jean,Girard,68725517355403,Nantes,86252.24,MASTER
29,Marie,Dupont,11127535400509,Lyon,23375.55,MIDDLE
30,Camille,Lefebvre,11492706201871,Marseille,74550.69,SENIOR
31,Jean,Lefebvre,43665137493754,Lille,49759.97,SENIOR
32,Jean,Dupont,49658345097278,Marseille,82709.97,MASTER
33,Camille,Moreau,10788612290379,Lyon,76384.18,MASTER
34,Thomas,Dupont,85535306974654,Paris,44090.9,MIDDLE
35,Nicolas,Dupont,66164455112514,Paris,21572.03,MIDDLE
36,Camille,Moreau,52986010641652,Marseille,87839.87,MASTER
37,Camille,Girard,11577899666445,Lyon,26344.72,MIDDLE
38,Nicolas,Girard,18427477486679,Lyon,71675.11,SENIOR
39,Marie,Girard,35384820926002,Bordeaux,82391.7,MASTER
40,Camille,Dupont,64356354033171,Marseille,18315.05,JUNIOR
41,Jean,Girard,19710392129936,Lyon,60106.49,SENIOR
42,Camille,Martin,58013860683862,Paris,25781.83,MIDDLE
43,Camille,Dupont,17249347375348,Bordeaux,52521.71,SENIOR
44,Camille,Martin,84769997782755,Nantes,41977.85,MIDDLE
45,Marie,Lefebvre,38937705007512,Lyon,62451.8,SENIOR
47,Jean,Laurent,33760197743133,Paris,78426.58,MASTER
48,Jean,Martin,69165299079557,Nantes,26836.75,MIDDLE
50,Marie,Lefebvre,14408496520177,Lyon,86737.85,MASTER
51,Jean,Moreau,85317997657127,Nantes,52725.43,SENIOR
52,Marie,Lefebvre,95498233207112,Nantes,32507.58,MIDDLE
53,Thomas,Girard,58176131645233,Paris,71108.64,SENIOR
54,Nicolas,Martin,98167826041480,Lyon,79898.6,MASTER
55,Chloé,Moreau,84166675821656,Paris,63744.66,SENIOR
56,Lucas,Lefebvre,24368220801260,Marseille,82675.74,MASTER
57,Chloé,Martin,14266123813186,Lille,87540.85,MASTER
58,Camille,Martin,49731458092118,Nantes,76629.1,MASTER
59,Thomas,Moreau,15814445156516,Lyon,49818.99,SENIOR
60,Thomas,Martin,53445047535229,Paris,25888.93,MIDDLE
61,Marie,Dupont,89337621929005,Paris,42218.62,MIDDLE
63,Thomas,Dupont,45635277878176,Paris,43080.0,MIDDLE
64,Nicolas,Girard,33415136961998,Lyon,24348.15,MIDDLE
65,Camille,Dupont,68712645552753,Paris,71964.69,SENIOR
66,Thomas,Moreau,32961353032794,Nantes,71385.8,SENIOR
67,Lucas,Girard,67909813579269,Nantes,29381.47,MIDDLE
68,Marie,Lefebvre,86804088761861,Marseille,30614.23,MIDDLE
70,Nicolas,Dupont,58349202706611,Lyon,56359.61,SENIOR
71,Nicolas,Dupont,96215555107848,Marseille,60052.02,SENIOR
72,Nicolas,Lefebvre,40028211673477,Bordeaux,21700.46,MIDDLE
73,Jean,Moreau,90090271517619,Marseille,89787.56,MASTER
75,Jean,Laurent,46735686587470,Lyon,32490.48,MIDDLE
76,Jean,Girard,35236255298933,Lyon,24098.82,MIDDLE
77,Chloé,Dupont,32893429228081,Marseille,54778.93,SENIOR
78,Thomas,Laurent,60534436487952,Nantes,57795.55,SENIOR
79,Nicolas,Laurent,45068542372203,Lyon,50950.92,SENIOR
80,Jean,Lefebvre,61442140699708,Marseille,47316.18,SENIOR
81,Chloé,Dupont,24781110080838,Lille,25535.24,MIDDLE
82,Jean,Lefebvre,91426625039245,Paris,41162.44,MIDDLE
83,Jean,Dupont,88892234206935,Marseille,77767.47,MASTER
85,Lucas,Lefebvre,41132707922622,Bordeaux,82552.0,MASTER
86,Thomas,Moreau,35536935940124,Nantes,60701.83,SENIOR
87,Chloé,Moreau,68941114632340,Nantes,50710.87,SENIOR
88,Camille,Girard,30310744781112,Nantes,48485.0,SENIOR
89,Jean,Martin,68116273317806,Paris,56253.22,SENIOR
90,Chloé,Moreau,17939566967808,Bordeaux,56098.07,SENIOR
91,Chloé,Moreau,27351347625081,Nantes,77512.87,MASTER
92,Lucas,Girard,61770527144042,Marseille,59501.97,SENIOR
93,Thomas,Laurent,65852394380822,Paris,19622.69,JUNIOR
94,Nicolas,Dupont,15533455720866,Bordeaux,17292.2,JUNIOR
95,Marie,Lefebvre,60389731344064,Marseille,67687.11,SENIOR
96,Thomas,Moreau,95867146819401,Lille,72210.48,SENIOR
97,Lucas,Lefebvre,96384998378443,Bordeaux,66581.35,SENIOR
98,Jean,Moreau,32082367160426,Marseille,57005.52,SENIOR
99,Nicolas,Martin,44812164670251,Bordeaux,71826.94,SENIOR
100,Nicolas,Dupont,64906484618799,Lyon,22897.24,MIDDLE
101,Nicolas,Martin,12058046946287,Lyon,39298.23,MIDDLE
102,Chloé,Martin,23909453270088,Nantes,32320.75,MIDDLE
103,Chloé,Moreau,84557470007676,Nantes,32347.84,MIDDLE
104,Chloé,Girard,34817535183363,Nantes,54686.09,SENIOR
105,Jean,Girard,64752655864805,Marseille,37073.92,MIDDLE
106,Chloé,Martin,41354345297387,Nantes,41257.41,MIDDLE
107,Camille,Dupont,34691547277624,Marseille,64794.73,SENIOR
108,Lucas,Lefebvre,97517705188261,Marseille,16270.66,JUNIOR
109,Chloé,Dupont,85247119070848,Paris,51271.08,SENIOR
110,Nicolas,Moreau,28084124851508,Paris,68612.02,SENIOR
111,Thomas,Dupont,96571095798565,Paris,56871.21,SENIOR
112,Chloé,Laurent,13294137579230,Bordeaux,48981.86,SENIOR
113,Nicolas,Moreau,28346990986754,Bordeaux,56655.59,SENIOR
114,Marie,Lefebvre,68977736866026,Nantes,83455.57,MASTER
115,Marie,Girard,33838952345295,Lille,89263.58,MASTER
116,Nicolas,Laurent,45257339558834,Nantes,56220.96,SENIOR
117,Thomas,Dupont,39324702550645,Bordeaux,17222.22,JUNIOR
118,Jean,Dupont,17933225670687,Lyon,53216.07,SENIOR
119,Camille,Laurent,49731755583192,Lyon,37183.63,MIDDLE
120,Marie,Martin,40365053514996,Paris,71089.3,SENIOR
121,Camille,Dupont,61828287323449,Marseille,16845.93,JUNIOR
122,Lucas,Martin,53682059174990,Nantes,74700.12,SENIOR
123,Marie,Girard,46602094138505,Lyon,31077.6,MIDDLE
124,Lucas,Dupont,38024087196708,Bordeaux,32346.16,MIDDLE
125,Jean,Girard,69774277203396,Nantes,38247.64,MIDDLE
126,Camille,Lefebvre,54666231517249,Bordeaux,58690.81,SENIOR
127,Thomas,Lefebvre,41785056918101,Paris,24899.74,MIDDLE
128,Jean,Laurent,64284725877308,Paris,36271.38,MIDDLE
130,Camille,Moreau,44303629009685,Marseille,40288.48,MIDDLE
131,Jean,Laurent,46799612499863,Lyon,34529.06,MIDDLE
132,Marie,Lefebvre,33925570885531,Paris,63459.28,SENIOR
133,Chloé,Lefebvre,40179512272179,Lyon,77231.7,MASTER
134,Chloé,Laurent,55108911761333,Nantes,22211.63,MIDDLE
135,Lucas,Girard,18631988489034,Bordeaux,36314.06,MIDDLE
136,Lucas,Laurent,80884019473557,Marseille,29801.81,MIDDLE
137,Chloé,Lefebvre,11881043913029,Marseille,89070.7,MASTER
138,Chloé,Dupont,44171322521881,Paris,77093.05,MASTER
139,Lucas,Martin,54426976474237,Nantes,33885.77,MIDDLE
140,Marie,Martin,92097242913435,Bordeaux,38022.91,MIDDLE
141,Thomas,Lefebvre,27850831814504,Lille,77606.75,MASTER
144,Thomas,Girard,60353746087351,Marseille,59537.91,SENIOR
145,Thomas,Laurent,38546166988391,Paris,89237.2,MASTER
146,Nicolas,Laurent,86465835332072,Nantes,44985.82,MIDDLE
147,Chloé,Laurent,48251772572165,Paris,62616.74,SENIOR
148,Lucas,Lefebvre,35257388059268,Marseille,83647.66,MASTER
149,Thomas,Lefebvre,55064751252173,Lille,31865.46,MIDDLE
150,Marie,Girard,14643594628173,Paris,68436.38,SENIOR
151,Chloé,Dupont,24694155788679,Lille,53950.17,SENIOR
152,Nicolas,Martin,68041544475722,Nantes,16637.15,JUNIOR
154,Nicolas,Moreau,87497425283380,Paris,43708.94,MIDDLE
155,Camille,Laurent,10362372385613,Paris,65136.89,SENIOR
156,Jean,Martin,82544714245973,Lyon,43633.31,MIDDLE
157,Lucas,Dupont,84805347646602,Bordeaux,86346.74,MASTER
158,Jean,Lefebvre,80063284784772,Bordeaux,59316.03,SENIOR
159,Nicolas,Moreau,69918801124625,Nantes,19619.94,JUNIOR
160,Nicolas,Dupont,87924172268484,Lille,23686.89,MIDDLE
161,Jean,Moreau,60947154554603,Bordeaux,25086.44,MIDDLE
162,Camille,Girard,44164717196962,Marseille,15114.78,JUNIOR
163,Camille,Moreau,37548074008764,Nantes,55889.75,SENIOR
164,Lucas,Moreau,45777686536207,Lille,46372.22,SENIOR
165,Marie,Dupont,93635996091480,Bordeaux,61147.63,SENIOR
166,Nicolas,Martin,68367314288107,Marseille,52425.54,SENIOR
167,Marie,Laurent,51109862881590,Bordeaux,58394.31,SENIOR
168,Camille,Lefebvre,45944796423645,Marseille,30392.5,MIDDLE
169,Camille,Lefebvre,40318461677663,Marseille,89940.75,MASTER
171,Lucas,Girard,89288020013652,Lyon,48744.15,SENIOR
172,Nicolas,Girard,69355193169110,Bordeaux,82794.49,MASTER
173,Thomas,Girard,42596664459828,Marseille,72200.69,SENIOR
174,Marie,Girard,23365160830533,Lille,71205.41,SENIOR
175,Marie,Martin,67067112903135,Lyon,45515.78,SENIOR
