personId,firstname,lastname,siret,city,salary,externalCategory,homeRent
46,Thomas,Girard,74030131845705,Paris,53953.18,DIRECTOR,16185.954
49,Nicolas,Moreau,72547408990029,Lille,28870.35,LEAD,8661.105
62,Nicolas,Dupont,75729572973314,Bordeaux,75407.56,EXECUTOR,22622.268
69,Chloé,Moreau,75212818696659,Marseille,19532.57,EMPLOYEE,5859.771
74,Chloé,Moreau,70618936688134,Paris,77812.89,EXECUTOR,23343.867
84,Jean,Lefebvre,72033897739100,Lille,68674.81,DIRECTOR,20602.443
129,Thomas,Laurent,76336819869760,Lille,58182.29,DIRECTOR,17454.686999999998
142,Thomas,Dupont,71031594390299,Nantes,50517.34,DIRECTOR,15155.201999999997
143,Jean,Martin,77690841153686,Lille,58096.77,DIRECTOR,17429.031
153,Camille,Martin,71800666951539,Paris,35791.48,LEAD,10737.444000000001
170,Nicolas,Laurent,73942506369716,Marseille,76006.84,EXECUTOR,22802.052
176,Thomas,Girard,72521572296816,Paris,17872.8,EMPLOYEE,5361.839999999999
185,Camille,Moreau,78888981435875,Paris,76698.11,EXECUTOR,23009.433
193,Jean,Girard,71080422599890,Bordeaux,51478.36,DIRECTOR,15443.508
206,Camille,Girard,72519039999649,Lille,18845.94,EMPLOYEE,5653.781999999999
212,Jean,Moreau,76077492604035,Lyon,63365.62,DIRECTOR,19009.686
244,Nicolas,Girard,75224320997630,Lyon,59028.78,DIRECTOR,17708.634
248,Thomas,Girard,70242645701141,Bordeaux,56610.34,DIRECTOR,16983.102
251,Marie,Laurent,75288592151312,Paris,88160.57,EXECUTOR,26448.171000000002
263,Camille,Laurent,72733606356936,Lyon,39812.83,LEAD,11943.849
276,Camille,Girard,73236316667385,Bordeaux,87440.02,EXECUTOR,26232.006
279,Marie,Laurent,73862252788281,Bordeaux,80426.8,EXECUTOR,24128.04
280,Marie,Girard,70225284130736,Nantes,15134.49,EMPLOYEE,4540.347
285,Lucas,Moreau,77947702908824,Paris,46216.24,DIRECTOR,13864.872
296,Jean,Lefebvre,79949551944700,Bordeaux,34609.08,LEAD,10382.724
319,Chloé,Lefebvre,71530819670650,Nantes,54327.19,DIRECTOR,16298.157
320,Jean,Laurent,76921101675066,Lille,64947.31,DIRECTOR,19484.193
322,Nicolas,Girard,72010455527905,Lyon,46607.19,DIRECTOR,13982.157000000001
326,Camille,Moreau,73934783461517,Lille,24016.24,LEAD,7204.872
342,Nicolas,Martin,78264102252102,Lille,88397.2,EXECUTOR,26519.16
343,Nicolas,Martin,77200257414847,Lille,56678.52,DIRECTOR,17003.555999999997
348,Thomas,Moreau,74205792456962,Paris,80485.43,EXECUTOR,24145.628999999997
